Sähkön keskihinta Suomessa nousee nykytasoon verrattuna;0;2.25;1.5;1.8125;1.4375;-1.625;0.8125;1.125;1;-1.4375
Tuulivoiman ja aurinkosähkön tuotantomäärä Suomessa kasvaa ;-0.125;0;2.3125;2.0625;-1.9375;0.0625;2.625;1;1.375;-0.1875
Sähkövarastointi Suomessa lisääntyy ;-0.1875;2;0;0;-0.4375;0.3125;-1.3125;-0.875;-0.4375;0.0625
Sähkön kulutuksen markkinaehtoinen jousto lisääntyy;-1.75;1;0.125;0;0;-0.0625;-1.125;-0.5625;-0.3125;-0.0625
Ydinvoimalaitoksia rakennetaan lisää Suomeen;-0.25;-1.4375;-0.3125;-0.375;0;1.1875;-0.6875;0.8125;-0.3125;-0.75
Sähkön kulutus kasvaa Suomessa;1.9375;1.75;0.9375;1.4375;1.6875;0;1.6875;1.5625;1.1875;0.5625
Sähkön hinnan vaihtelu kasvaa;0.875;-0.3125;2.4375;2.875;-0.25;-0.0625;0;0.875;1.75;-0.1875
Sähkön siirtokapasiteetti ulkomailta kasvaa;-1.0625;0.0625;-1.375;-0.6875;0;0.4375;-1.1875;0;-0.5625;0.0625
Sähkön kulutuksen vaihtelut voimistuvat;1.6875;-0.25;2.0625;2.0625;-0.6875;0.125;2.625;0.6875;0;-0.125
Aurinko- ja tuulivoiman tuet kasvavat;0.1875;3.5;1.375;1.25;-0.9375;0.1875;1.625;0.875;0.875;0
